Date,Market Cap
20/02/2018,189536000000
19/02/2018,178055000000
18/02/2018,187663000000
17/02/2018,172191000000
16/02/2018,170960000000
15/02/2018,160025000000
14/02/2018,145023000000
13/02/2018,150516000000
12/02/2018,137258000000
11/02/2018,145245000000
10/02/2018,146981000000
09/02/2018,139412000000
08/02/2018,128714000000
07/02/2018,130683000000
06/02/2018,118810000000
05/02/2018,139325000000
04/02/2018,154553000000
03/02/2018,149085000000
02/02/2018,153953000000
01/02/2018,172372000000
31/01/2018,170183000000
30/01/2018,190339000000
29/01/2018,197871000000
28/01/2018,193133000000
27/01/2018,188054000000
26/01/2018,189398000000
25/01/2018,192163000000
24/01/2018,183419000000
23/01/2018,184087000000
22/01/2018,195645000000
21/01/2018,216740000000
20/01/2018,195979000000
19/01/2018,192150000000
18/01/2018,188242000000
17/01/2018,192123000000
16/01/2018,232517000000
15/01/2018,231334000000
14/01/2018,241447000000
13/01/2018,234391000000
12/01/2018,225986000000
11/01/2018,251387000000
10/01/2018,244981000000
09/01/2018,253935000000
08/01/2018,276612000000
07/01/2018,294222000000
06/01/2018,293091000000
05/01/2018,259748000000
04/01/2018,256250000000
03/01/2018,251312000000
02/01/2018,228579000000
01/01/2018,236725000000
31/12/2017,216326000000
30/12/2017,246224000000
29/12/2017,246428000000
28/12/2017,265988000000
27/12/2017,270976000000
26/12/2017,235294000000
25/12/2017,234590000000
24/12/2017,244824000000
23/12/2017,233748000000
22/12/2017,266381000000
21/12/2017,278827000000
20/12/2017,297526000000
19/12/2017,320242000000
18/12/2017,320000000000
17/12/2017,326141000000
16/12/2017,297376000000
15/12/2017,277936000000
14/12/2017,274269000000
13/12/2017,292900000000
12/12/2017,283155000000
11/12/2017,258147000000
10/12/2017,253782000000
09/12/2017,276415000000
08/12/2017,297787000000
07/12/2017,238600000000
06/12/2017,199390000000
05/12/2017,195389000000
04/12/2017,189172000000
03/12/2017,185258000000
02/12/2017,183490000000
01/12/2017,170436000000
30/11/2017,165537000000
29/11/2017,168367000000
28/11/2017,164104000000
27/11/2017,156221000000
26/11/2017,146789000000
25/11/2017,137632000000
24/11/2017,134816000000
23/11/2017,137444000000
22/11/2017,134851000000
21/11/2017,136967000000
20/11/2017,134167000000
19/11/2017,129595000000
18/11/2017,128425000000
17/11/2017,131026000000
16/11/2017,122164000000
15/11/2017,110667000000
14/11/2017,109434000000
13/11/2017,99029000000
12/11/2017,104980000000
11/11/2017,110362000000
10/11/2017,119607000000
09/11/2017,124146000000
08/11/2017,119041000000
07/11/2017,117056000000
06/11/2017,123379000000
05/11/2017,123388000000
04/11/2017,119376000000
03/11/2017,118084000000
02/11/2017,112910000000
01/11/2017,107287000000
31/10/2017,102130000000
30/10/2017,101833000000
29/10/2017,95819800000
28/10/2017,96369600000
27/10/2017,98225400000
26/10/2017,95685100000
25/10/2017,91954200000
24/10/2017,98781600000
23/10/2017,99941600000
22/10/2017,100438000000
21/10/2017,99763200000
20/10/2017,94947900000
19/10/2017,92867000000
18/10/2017,93190200000
17/10/2017,95469300000
16/10/2017,94559000000
15/10/2017,97011900000
14/10/2017,93803000000
13/10/2017,90812400000
12/10/2017,80256700000
11/10/2017,79578200000
10/10/2017,79351800000
09/10/2017,76656500000
08/10/2017,73575400000
07/10/2017,72565100000
06/10/2017,71810600000
05/10/2017,70233700000
04/10/2017,71712500000
03/10/2017,73181300000
02/10/2017,72963200000
01/10/2017,72047300000
30/09/2017,69136600000
29/09/2017,69219200000
28/09/2017,69633200000
27/09/2017,64579200000
26/09/2017,65161000000
25/09/2017,61061100000
24/09/2017,62954300000
23/09/2017,60190000000
22/09/2017,60152300000
21/09/2017,64677600000
20/09/2017,64918500000
19/09/2017,67520300000
18/09/2017,59514100000
17/09/2017,59757800000
16/09/2017,60271600000
15/09/2017,52453500000
14/09/2017,64191600000
13/09/2017,68432200000
12/09/2017,69033400000
11/09/2017,68256000000
10/09/2017,70018100000
09/09/2017,70017200000
08/09/2017,76220200000
07/09/2017,75945000000
06/09/2017,72418700000
05/09/2017,69954400000
04/09/2017,75955500000
03/09/2017,75841700000
02/09/2017,81060600000
01/09/2017,77748400000
31/08/2017,75322300000
30/08/2017,75556600000
29/08/2017,72553800000
28/08/2017,72467900000
27/08/2017,71809200000
26/08/2017,72249100000
25/08/2017,71595100000
24/08/2017,68363900000
23/08/2017,67553000000
22/08/2017,66051000000
21/08/2017,67567100000
20/08/2017,69192700000
19/08/2017,68333100000
18/08/2017,71406500000
17/08/2017,72389100000
16/08/2017,69342700000
15/08/2017,71425500000
14/08/2017,67112300000
13/08/2017,64034100000
12/08/2017,60242100000
11/08/2017,55668000000
10/08/2017,55134700000
09/08/2017,56424900000
08/08/2017,55590300000
07/08/2017,52987300000
06/08/2017,53720900000
05/08/2017,47778200000
04/08/2017,46276200000
03/08/2017,44666400000
02/08/2017,44950800000
01/08/2017,47321800000
31/07/2017,45535800000
30/07/2017,44890700000
29/07/2017,46246700000
28/07/2017,44144400000
27/07/2017,41816500000
26/07/2017,42455000000
25/07/2017,45410100000
24/07/2017,44995600000
23/07/2017,46231100000
22/07/2017,43929600000
21/07/2017,46719000000
20/07/2017,37356800000
19/07/2017,38227800000
18/07/2017,36749400000
17/07/2017,31795000000
16/07/2017,32767600000
15/07/2017,36681300000
14/07/2017,38823100000
13/07/2017,39511000000
12/07/2017,38355900000
11/07/2017,39224200000
10/07/2017,41509000000
09/07/2017,42283200000
08/07/2017,41417700000
07/07/2017,42864200000
06/07/2017,42851400000
05/07/2017,42760800000
04/07/2017,42067900000
03/07/2017,41037200000
02/07/2017,40010500000
01/07/2017,40928200000
30/06/2017,41689100000
29/06/2017,42150300000
28/06/2017,41906700000
27/06/2017,40677900000
26/06/2017,42514000000
25/06/2017,42783800000
24/06/2017,44932900000
23/06/2017,44415900000
22/06/2017,44143700000
21/06/2017,44440800000
20/06/2017,42498000000
19/06/2017,41800600000
18/06/2017,43539300000
17/06/2017,41217200000
16/06/2017,40484100000
15/06/2017,40971300000
14/06/2017,44528300000
13/06/2017,43934100000
12/06/2017,48391200000
11/06/2017,48208700000
10/06/2017,46331400000
09/06/2017,45987100000
08/06/2017,44557100000
07/06/2017,46989800000
06/06/2017,44061000000
05/06/2017,41133900000
04/06/2017,41708200000
03/06/2017,40817100000
02/06/2017,39344600000
01/06/2017,37446200000
31/05/2017,35786700000
30/05/2017,36897000000
29/05/2017,35323500000
28/05/2017,33595900000
27/05/2017,35917100000
26/05/2017,37950600000
25/05/2017,39995400000
24/05/2017,37949200000
23/05/2017,35822600000
22/05/2017,33393600000
21/05/2017,33779400000
20/05/2017,32422400000
19/05/2017,30999000000
18/05/2017,29710500000
17/05/2017,28204800000
16/05/2017,28446300000
15/05/2017,29532600000
14/05/2017,29405100000
13/05/2017,28132300000
12/05/2017,30131100000
11/05/2017,29060600000
10/05/2017,28668100000
09/05/2017,28132200000
08/05/2017,26056500000
07/05/2017,25768500000
06/05/2017,25395600000
05/05/2017,25133100000
04/05/2017,24311900000
03/05/2017,23707100000
02/05/2017,23170200000
01/05/2017,21981800000
30/04/2017,21548400000
29/04/2017,21479800000
28/04/2017,21476000000
27/04/2017,20889200000
26/04/2017,20627900000
25/04/2017,20372300000
24/04/2017,19705400000
23/04/2017,20066200000
22/04/2017,19913900000
21/04/2017,20020700000
20/04/2017,19719900000
19/04/2017,19734800000
18/04/2017,19433800000
17/04/2017,19260500000
16/04/2017,19085100000
15/04/2017,18996500000
14/04/2017,19043800000
13/04/2017,19541300000
12/04/2017,19600800000
11/04/2017,19316000000
10/04/2017,19311200000
09/04/2017,19134400000
08/04/2017,19068600000
07/04/2017,19168500000
06/04/2017,18302600000
05/04/2017,18435700000
04/04/2017,18619000000
03/04/2017,17924600000
02/04/2017,17559400000
01/04/2017,17413000000
31/03/2017,16679000000
30/03/2017,16929800000
29/03/2017,16990900000
28/03/2017,16964500000
27/03/2017,15785000000
26/03/2017,15814800000
25/03/2017,15204800000
24/03/2017,16857000000
23/03/2017,17043400000
22/03/2017,18187100000
21/03/2017,17125600000
20/03/2017,16829800000
19/03/2017,15846000000
18/03/2017,17838700000
17/03/2017,19141800000
16/03/2017,20293700000
15/03/2017,20110400000
14/03/2017,19978200000
13/03/2017,19807700000
12/03/2017,19073300000
11/03/2017,18093700000
10/03/2017,19275300000
09/03/2017,18640900000
08/03/2017,19819800000
07/03/2017,20627100000
06/03/2017,20531900000
05/03/2017,20316000000
04/03/2017,20688800000
03/03/2017,20253700000
02/03/2017,19829800000
01/03/2017,19104800000
28/02/2017,19113600000
27/02/2017,18837300000
26/02/2017,18518900000
25/02/2017,18939500000
24/02/2017,18974400000
23/02/2017,18075200000
22/02/2017,18033400000
21/02/2017,17456900000
20/02/2017,16960200000
19/02/2017,17056600000
18/02/2017,16964800000
17/02/2017,16589600000
16/02/2017,16289100000
15/02/2017,16264100000
14/02/2017,16028000000
13/02/2017,16141500000
12/02/2017,16214700000
11/02/2017,15976700000
10/02/2017,16083600000
09/02/2017,17197100000
08/02/2017,17156700000
07/02/2017,16796600000
06/02/2017,16605400000
05/02/2017,16847400000
04/02/2017,16648800000
03/02/2017,16326100000
02/02/2017,15977800000
01/02/2017,15667900000
31/01/2017,14859700000
30/01/2017,14844900000
29/01/2017,14874000000
28/01/2017,14835800000
27/01/2017,14810400000
26/01/2017,14551200000
25/01/2017,14380700000
24/01/2017,14681400000
23/01/2017,14918800000
22/01/2017,14863600000
21/01/2017,14432000000
20/01/2017,14472100000
19/01/2017,14311700000
18/01/2017,14648900000
17/01/2017,13383900000
16/01/2017,13234600000
15/01/2017,13174300000
14/01/2017,13285200000
13/01/2017,12939100000
12/01/2017,12477600000
11/01/2017,14615700000
10/01/2017,14522600000
09/01/2017,14694900000
08/01/2017,14611400000
07/01/2017,14534400000
06/01/2017,16314100000
05/01/2017,18604000000
04/01/2017,16795400000
03/01/2017,16426600000
02/01/2017,16055100000
01/01/2017,15491200000
31/12/2016,15440700000
30/12/2016,15630200000
29/12/2016,15670000000
28/12/2016,15020500000
27/12/2016,14593300000
26/12/2016,14407800000
25/12/2016,14450100000
24/12/2016,14810300000
23/12/2016,13888600000
22/12/2016,13393800000
21/12/2016,12853700000
20/12/2016,12717600000
19/12/2016,12691100000
18/12/2016,12694800000
17/12/2016,12599600000
16/12/2016,12498800000
15/12/2016,12511700000
14/12/2016,12512900000
13/12/2016,12521500000
12/12/2016,12349800000
11/12/2016,12423600000
10/12/2016,12394500000
09/12/2016,12344000000
08/12/2016,12312500000
07/12/2016,12248900000
06/12/2016,12159400000
05/12/2016,12393100000
04/12/2016,12363600000
03/12/2016,12467800000
02/12/2016,12134800000
01/12/2016,11949200000
30/11/2016,11791600000
29/11/2016,11790900000
28/11/2016,11727800000
27/11/2016,11773800000
26/11/2016,11869600000
25/11/2016,11851100000
24/11/2016,11916500000
23/11/2016,12029000000
22/11/2016,11834200000
21/11/2016,11698900000
20/11/2016,12027500000
19/11/2016,12025400000
18/11/2016,11846000000
17/11/2016,11911300000
16/11/2016,11370700000
15/11/2016,11283400000
14/11/2016,11214600000
13/11/2016,11264500000
12/11/2016,11447700000
11/11/2016,11427200000
10/11/2016,11542100000
09/11/2016,11333000000
08/11/2016,11224000000
07/11/2016,11344800000
06/11/2016,11233000000
05/11/2016,11227200000
04/11/2016,10996400000
03/11/2016,11844300000
02/11/2016,11647200000
01/11/2016,11187700000
31/10/2016,11207200000
30/10/2016,11388800000
29/10/2016,11007600000
28/10/2016,10969800000
27/10/2016,10812500000
26/10/2016,10484000000
25/10/2016,10424300000
24/10/2016,10473500000
23/10/2016,10479700000
22/10/2016,10088400000
21/10/2016,10050300000
20/10/2016,10046700000
19/10/2016,10164800000
18/10/2016,10184000000
17/10/2016,10221300000
16/10/2016,10176800000
15/10/2016,10195200000
14/10/2016,10141600000
13/10/2016,10125100000
12/10/2016,10201000000
11/10/2016,9855650000
10/10/2016,9816270000
09/10/2016,9852480000
08/10/2016,9822100000
07/10/2016,9745740000
06/10/2016,9742370000
05/10/2016,9705320000
04/10/2016,9733330000
03/10/2016,9714980000
02/10/2016,9761330000
01/10/2016,9696280000
30/09/2016,9628250000
29/09/2016,9616160000
28/09/2016,9634530000
27/09/2016,9661590000
26/09/2016,9545830000
25/09/2016,9575360000
24/09/2016,9577520000
23/09/2016,9469130000
22/09/2016,9485280000
21/09/2016,9584260000
20/09/2016,9673140000
19/09/2016,9681960000
18/09/2016,9623950000
17/09/2016,9637600000
16/09/2016,9637020000
15/09/2016,9688940000
14/09/2016,9660080000
13/09/2016,9645930000
12/09/2016,9628560000
11/09/2016,9887780000
10/09/2016,9878730000
09/09/2016,9931980000
08/09/2016,9745120000
